id,comment,df
1603908403003145_1604124056314913,بما انك حلو وجذاب ...خلل حالك اريحلك,-1
1603908403003145_1603913399669312,ولك قيس احكي معها وخلص 😊,-1
1603908403003145_1604008972993088,يختششي شو حباب 😂😂👊👊👊,-1
1603908403003145_1603958626331456,انت جذاب بس كذاب,-1
1603908403003145_1604008739659778,وشو هالحب الترللي,-1
1603908403003145_1603920519668600,وضعك صعب,-1
1603908403003145_1604480612945924,جوابي ع سؤالك عن الموقت المناسب : تخرج و أسس حالك وقتها بكون الوقت المناسب,-1
1603908403003145_1604510646276254,عمله نادره ................ادركنا الصباح يا شهرياااار 😏😏😏😏,-1
1603908403003145_1604410512952934,صاحب صاحبتها وخود رقمها.,-1
1603908403003145_1603912279669424,عمله نآدرة شو آلحل يا ربي  شوووو الحل اخ بس,-1
1603908403003145_1603978619662790,الوقت المناسب عقاب الليل قبل الفجر 😂😂😂,-1
1603908403003145_1603942809666371,لازم اتصللك في الاسعاف هي بتساعدك وبس,-1
1603908403003145_1604122406315078,ههههههه عندك التهاااب حاد بالعضو العقلي يا خجوول,-1
1603908403003145_1604090596318259,هههه بعين الله يا استاز عملة😂😂,-1
1603908403003145_1604025899658062,عملة نادرة😂😂,-1
1603908403003145_1603967969663855,هههههههههههههههه عمله نادره   الله يكبركم بس😂😂😂😂,-1
1603908403003145_1604670802926905,والله شكلك بعدك عايش زمن الابيض والاسود 😅😅,-1
1603908403003145_1603912673002718,عملة نادرة !! 😂😂 بعرض اختك انضب 😂,-1
1603908403003145_1604395266287792,طيب لهساا ماحكتلنا مواصفات البنت لحتى نعرفهاا,-1
1603908403003145_1603915976335721,وضعك صعب ما توكل لا سمك ولا بيض والاسبوع الجاي الك مراجعه 😂,-1
1603908403003145_1603910566336262,عملة نادرة 😕 واو,-1
1603908403003145_1603910026336316,يازلمه اسال اختك عن تجربتها ممكن تستفيد,-1
1603908403003145_1604031802990805,اللهم ثبت علينا العقل و الدين . لهون وصلت التفاهة يا ناس يا عالم يا هو,-1
1603908403003145_1603911213002864,والله اللي بستحي بتروح عليه,-1
1604020089658643_1604031966324122,ههههههههه مزع جد مالها 😂😂😂 تبا لها بدي شاورما 😂😂,-1
1604020089658643_1604560789604573,ينعن شكلك شو بكره الخليجيه  متل الزنخه ينعن حريشك متقل دمك,-1
1604020089658643_1604340706293248,مش عارف مالها ومال الرجال,-1
1604020089658643_1604045636322755,الله يلعن ابو ابو ابوكي وجهك شبه مدخل الخليل,-1
1604020089658643_1604030429657609,شو يما جايتك الحاله كنو 😂😂😂,-1
1604020089658643_1604076322986353,يملعون اللي طرقك شلقه مش لاقي حد يفضح عرضك تعي ي هند شوفي هالسحليه,-1
1604020089658643_1604376526289666,مجنونه,-1
1604020089658643_1604022996325019,😂,-1
1604020089658643_1604030832990902,هاي مبينة من جماعة اخبرهم,-1
1604020089658643_1604533082940677,من الواضح انها عانس ⁦🕵️⁩,-1
1604020089658643_1604045736322745,مالها اتحولت 😬,-1
1604020089658643_1604074452986540,تفووووو عليهااا هي شهتني بنص هالليل 😐😐😐😐,-1
1604020089658643_1604022619658390,شكلو حد حاكيلها كنك نصحانة من الحلو 🤣🤣,-1
1604020089658643_1604662062927779,ههههههههه بلاول فتحتيلي نفسي  بس بعد التفات سكرت 😂,-1
1604020089658643_1604043562989629,مالها الهبله 🏳🏳🏳🏳 ينعنك مزنخك,-1
1604020089658643_1604062566321062,ولااااااي مولعه معها 😂😂😂😂😂,-1
1604020089658643_1604611869599465,سيبوها لاحد يكلمها,-1
1604020089658643_1604347049625947,Aya Breitim  مين داعس ع ذيلها,-1
1604020089658643_1604597126267606,😂😂😂,-1
1604020089658643_1604030016324317,Bahaa Awad هههههههههه تفوووووو,-1
1604020089658643_1604093542984631,فادي الرجبي بسرعه بسرعه ضروري جدا 😂😂😂😂,-1
1604380252955960_1604401542953831,بصراحه انا ما كملت قراءة البوست لانو مبين عليكي تافهة انتي وتفكيرك  وشو يعني صاحباتك ! وجع,-1
1604380252955960_183587358863957,يخرب بيتك اصلا رح صحباتك اول الناس رح ينتقضوكي عما شو انك وقحة,-1
1604380252955960_165325954056070,عادي اعملي الحفلة وانبسطي ومع الزمن لما امك تموت بنات حماكي وزوجك ومش بعيد ضررتك يعملو حفلة بعدها بيوم بس ما تزعلي وقتها خيتوو🤓,-1
1604380252955960_1944290729158404,صاحباتك نفسهم رح يحكو عليكي ازا عملتيلهم حفله وفي وضع متل هيك عندك فعلا ما بتستحي لو انها امك نمتي عند المقبره عليها 👌,-1
1604380252955960_1741436892826421,مع احترامي الك  انت وحده ما بتستحي الي خلاكي تاخدي رأي الناس بهيك موضوع  الي استحو ماتو,-1
1604380252955960_2079084812311085,ناديلي على جوزك شوي دعطيه نصيحة  لازم يطلقك فوراً وحالاً فش كلام  يخرب بيت الاحساس الي ناتعتيه,-1
1604380252955960_1604409412953044,ما عندك اي نوع من الاحساس ولا الاحترام كيف بدك ترقصي وحماتك لسه متو فيه وين احترامك لمشاعر زوجك طز فيكي وفي صاحباتك,-1
1604380252955960_1944295042491306,والله الي ستحو ماتو ازعلي ع زعلهم وافرحي ع فرحهم مستعجله ترقصي سبعين عين تطرقق,-1
